city,state,date,price,region
Nebraska,NE,2021.03.31,199104,MIDWEST
Idaho,ID,2019.03.31,275076,WEST
Idaho,ID,2020.03.31,300648,WEST
Idaho,ID,2021.03.31,369495,WEST
Hawaii,HI,2019.03.31,654961,WEST
Hawaii,HI,2020.03.31,655865,WEST
Hawaii,HI,2021.03.31,698029,WEST
Maine,ME,2019.03.31,235134,NORTHEAST
Maine,ME,2020.03.31,251567,NORTHEAST
Maine,ME,2021.03.31,286106,NORTHEAST
New Hampshire,NH,2019.03.31,287507,NORTHEAST
New Hampshire,NH,2020.03.31,301923,NORTHEAST
New Hampshire,NH,2021.03.31,343300,NORTHEAST
Rhode Island,RI,2019.03.31,298505,NORTHEAST
Rhode Island,RI,2020.03.31,310182,NORTHEAST
Rhode Island,RI,2021.03.31,353754,NORTHEAST
Montana,MT,2019.03.31,282682,WEST
Montana,MT,2020.03.31,297178,WEST
Montana,MT,2021.03.31,334168,WEST
Delaware,DE,2019.03.31,260934,SOUTH
Delaware,DE,2020.03.31,261465,SOUTH
Delaware,DE,2021.03.31,290932,SOUTH
South Dakota,SD,2019.03.31,210973,MIDWEST
South Dakota,SD,2020.03.31,218918,MIDWEST
South Dakota,SD,2021.03.31,234523,MIDWEST
Alaska,AK,2019.03.31,292745,WEST
Alaska,AK,2020.03.31,285405,WEST
Alaska,AK,2021.03.31,289971,WEST
North Dakota,ND,2019.03.31,229833,MIDWEST
North Dakota,ND,2020.03.31,233996,MIDWEST
North Dakota,ND,2021.03.31,242661,MIDWEST
Vermont,VT,2019.03.31,254232,NORTHEAST
Vermont,VT,2020.03.31,262146,NORTHEAST
Vermont,VT,2021.03.31,283273,NORTHEAST
District of Columbia,DC,2019.03.31,635572,SOUTH
District of Columbia,DC,2020.03.31,656389,SOUTH
District of Columbia,DC,2021.03.31,678707,SOUTH
Wyoming,WY,2019.03.31,242582,WEST
Wyoming,WY,2020.03.31,256183,WEST
Wyoming,WY,2021.03.31,266224,WEST
United States,,2019.03.31,240596,US
United States,,2020.03.31,250179,US
United States,,2021.03.31,276717,US
